id_producto,nombre,categoria,marca,precio,stock,calificacion,fecha_registro
1,Monitores LG Modelo 286,Monitores,LG,731,29,4.8,2025-12-02
2,Wearables Lenovo Modelo 987,Wearables,Lenovo,1958,111,4.0,2025-08-23
3,Wearables Microsoft Modelo 701,Wearables,Microsoft,1492,172,4.3,2025-07-29
4,Tablets Apple Modelo 513,Tablets,Apple,544,38,4.7,2025-02-25
5,Tablets Dell Modelo 479,Tablets,Dell,1967,140,3.7,2025-03-20
6,Audio Asus Modelo 892,Audio,Asus,1832,126,4.6,2025-04-30
7,Redes JBL Modelo 251,Redes,JBL,24,98,3.5,2025-08-14
8,Audio Asus Modelo 936,Audio,Asus,905,115,3.8,2025-11-02
9,Accesorios Samsung Modelo 182,Accesorios,Samsung,337,198,3.6,2025-09-25
10,Telefonía Samsung Modelo 571,Telefonía,Samsung,1543,186,4.5,2025-01-20
11,Almacenamiento Razer Modelo 521,Almacenamiento,Razer,172,116,3.9,2025-07-09
12,Oficina Dell Modelo 140,Oficina,Dell,1806,23,4.7,2025-12-07
13,Wearables LG Modelo 596,Wearables,LG,1661,22,4.2,2025-02-12
14,Accesorios Logitech Modelo 685,Accesorios,Logitech,1779,6,4.0,2025-02-07
15,Wearables SanDisk Modelo 189,Wearables,SanDisk,1608,36,4.6,2025-05-01
16,Monitores JBL Modelo 372,Monitores,JBL,619,118,3.7,2025-07-21
17,Telefonía Kingston Modelo 663,Telefonía,Kingston,1557,109,4.6,2025-02-05
18,Almacenamiento Kingston Modelo 937,Almacenamiento,Kingston,1392,132,4.8,2025-02-12
19,Telefonía Sony Modelo 365,Telefonía,Sony,1992,84,3.8,2025-06-28
20,Tablets LG Modelo 107,Tablets,LG,99,45,4.5,2025-04-16
21,Redes Sony Modelo 353,Redes,Sony,1141,193,3.6,2025-09-14
22,Telefonía Dell Modelo 527,Telefonía,Dell,132,57,4.7,2025-05-24
23,Wearables Sony Modelo 368,Wearables,Sony,88,74,4.6,2025-06-13
24,Redes Logitech Modelo 401,Redes,Logitech,146,122,4.2,2025-06-20
25,Computadores Apple Modelo 316,Computadores,Apple,1139,77,4.7,2025-04-29
26,Redes TP-Link Modelo 112,Redes,TP-Link,695,29,4.7,2025-05-06
27,Redes Dell Modelo 826,Redes,Dell,1400,144,3.8,2025-11-17
28,Telefonía HP Modelo 381,Telefonía,HP,721,176,4.6,2025-10-16
29,Computadores Microsoft Modelo 395,Computadores,Microsoft,858,109,4.5,2025-05-18
30,Almacenamiento LG Modelo 390,Almacenamiento,LG,945,45,3.5,2025-12-19
31,Almacenamiento JBL Modelo 313,Almacenamiento,JBL,345,150,4.2,2025-03-11
32,Wearables Samsung Modelo 700,Wearables,Samsung,1237,41,3.7,2025-11-10
33,Monitores TP-Link Modelo 284,Monitores,TP-Link,1553,74,3.6,2025-05-24
34,Wearables HyperX Modelo 953,Wearables,HyperX,1128,83,4.3,2025-10-03
35,Almacenamiento Logitech Modelo 337,Almacenamiento,Logitech,1947,99,4.6,2025-04-26
36,Almacenamiento Razer Modelo 669,Almacenamiento,Razer,1178,4,4.0,2025-05-31
37,Redes Logitech Modelo 944,Redes,Logitech,1498,66,3.5,2025-06-01
38,Audio JBL Modelo 435,Audio,JBL,1021,94,4.7,2025-08-07
39,Redes HP Modelo 581,Redes,HP,184,179,4.6,2025-05-03
40,Tablets Kingston Modelo 888,Tablets,Kingston,518,125,3.6,2025-08-16
41,Computadores Microsoft Modelo 412,Computadores,Microsoft,728,133,4.2,2025-05-12
42,Redes HP Modelo 307,Redes,HP,527,78,3.9,2025-12-21
43,Telefonía Logitech Modelo 788,Telefonía,Logitech,1295,32,3.6,2025-08-23
44,Oficina Razer Modelo 416,Oficina,Razer,633,84,4.3,2025-01-15
45,Audio Microsoft Modelo 661,Audio,Microsoft,1334,113,4.8,2025-01-22
46,Accesorios Sony Modelo 794,Accesorios,Sony,467,115,4.7,2025-10-16
47,Audio Samsung Modelo 632,Audio,Samsung,650,120,4.4,2025-04-01
48,Accesorios Apple Modelo 915,Accesorios,Apple,1516,34,4.2,2025-06-17
49,Accesorios LG Modelo 785,Accesorios,LG,856,78,3.5,2025-04-02
50,Telefonía Asus Modelo 292,Telefonía,Asus,1323,180,4.4,2025-01-09
51,Telefonía HyperX Modelo 201,Telefonía,HyperX,1069,159,4.0,2025-06-15
52,Accesorios Logitech Modelo 811,Accesorios,Logitech,1501,188,3.8,2025-11-12
53,Wearables Apple Modelo 356,Wearables,Apple,519,61,4.8,2025-03-22
54,Monitores Samsung Modelo 195,Monitores,Samsung,1045,95,3.7,2025-05-19
55,Computadores JBL Modelo 658,Computadores,JBL,1899,190,4.1,2025-05-22
56,Tablets Dell Modelo 979,Tablets,Dell,1565,123,4.2,2025-12-27
57,Audio SanDisk Modelo 302,Audio,SanDisk,610,127,3.6,2025-06-28
58,Monitores Kingston Modelo 410,Monitores,Kingston,550,105,4.0,2025-12-15
59,Accesorios Sony Modelo 899,Accesorios,Sony,1687,110,3.9,2025-06-18
60,Telefonía LG Modelo 608,Telefonía,LG,261,51,4.1,2025-02-25
61,Monitores Apple Modelo 468,Monitores,Apple,1762,35,3.6,2025-08-29
62,Wearables JBL Modelo 241,Wearables,JBL,157,16,3.9,2025-02-28
63,Accesorios Microsoft Modelo 945,Accesorios,Microsoft,1565,133,3.8,2025-11-09
64,Computadores HyperX Modelo 880,Computadores,HyperX,1265,142,4.2,2025-11-24
65,Monitores Dell Modelo 352,Monitores,Dell,1650,23,4.0,2025-01-06
66,Tablets Razer Modelo 679,Tablets,Razer,1565,0,4.1,2025-07-26
67,Monitores LG Modelo 338,Monitores,LG,1416,0,4.6,2025-11-14
68,Telefonía Apple Modelo 578,Telefonía,Apple,1454,61,4.8,2025-10-10
69,Telefonía Lenovo Modelo 848,Telefonía,Lenovo,1752,144,3.8,2025-03-15
70,Monitores Lenovo Modelo 569,Monitores,Lenovo,1196,134,4.9,2025-09-05
71,Tablets Kingston Modelo 891,Tablets,Kingston,1632,94,3.6,2025-01-29
72,Tablets Kingston Modelo 130,Tablets,Kingston,183,39,3.5,2025-04-25
73,Telefonía Apple Modelo 906,Telefonía,Apple,1686,174,4.8,2025-07-04
74,Wearables Asus Modelo 930,Wearables,Asus,1807,199,4.8,2025-01-13
75,Telefonía SanDisk Modelo 947,Telefonía,SanDisk,1274,129,4.0,2025-07-02
76,Accesorios HyperX Modelo 564,Accesorios,HyperX,1036,102,4.5,2025-03-25
77,Almacenamiento Razer Modelo 951,Almacenamiento,Razer,1703,136,4.7,2025-09-15
78,Computadores Samsung Modelo 856,Computadores,Samsung,424,108,4.9,2025-12-30
79,Monitores Razer Modelo 266,Monitores,Razer,798,93,3.8,2025-01-01
80,Almacenamiento TP-Link Modelo 356,Almacenamiento,TP-Link,332,29,3.5,2025-06-26
81,Monitores Razer Modelo 506,Monitores,Razer,998,120,4.8,2025-05-04
82,Wearables Asus Modelo 899,Wearables,Asus,1155,80,3.7,2025-12-07
83,Redes HP Modelo 422,Redes,HP,47,128,3.9,2025-02-01
84,Audio HyperX Modelo 542,Audio,HyperX,1405,77,4.9,2025-03-16
85,Audio HP Modelo 196,Audio,HP,34,50,4.1,2025-03-10
86,Redes HyperX Modelo 127,Redes,HyperX,1605,85,4.3,2025-11-03
87,Tablets SanDisk Modelo 833,Tablets,SanDisk,1896,158,3.9,2025-12-27
88,Wearables Apple Modelo 303,Wearables,Apple,384,68,4.5,2025-10-27
89,Computadores Logitech Modelo 281,Computadores,Logitech,592,80,4.0,2025-04-17
90,Audio Microsoft Modelo 518,Audio,Microsoft,1198,177,4.6,2025-02-13
91,Oficina LG Modelo 887,Oficina,LG,1945,195,4.1,2025-12-02
92,Redes Kingston Modelo 609,Redes,Kingston,1826,106,4.7,2025-09-16
